Model,MAE,RMSE,R2
Dummy Regressor,2278.4932822630994,3118.937105565342,-0.005014533072101424
Linear Regression,1963.9179057355127,2660.7120354336644,0.26860016865918845
Random Forest,1329.7829819596827,1913.8064478735632,0.6215965088599233
XGBoost,1136.5947265625,1619.7706298828125,0.7289395332336426
